Related D3FEND Techniques;Definition;How it works;Considerations;Implementations;Examples
D3-JFAPA Job Function Access Pattern Analysis;Detecting anomalies in user access patterns by comparing user access activity to behavioral profiles that categorize users by role such as job title, function, department.;Peer group analysis identifies functionally similar groups of actors (users or resources) based on categorizations such as job title, organizational hierarchy, or other attribute that indicates similarity of job function. Current user access activity is then compared to the appropriate peer group behavior profile to identify anomalies.;Potential for false positives from anomalies that are not associated with malicious activity.;None;None
D3-RAPA Resource Access Pattern Analysis;Analyzing the resources accessed by a user to identify unauthorized activity.;This technique analyzes a user's resource accesses by comparing the user's recent activity against a baseline activity model. Major differences between the current activity and the baseline model might indicate unauthorized activity if they are severe enough.;Potential for false positives from anomalies that are not associated with malicious activity.;None;None
D3-SDA Session Duration Analysis;Analyzing the duration of user sessions in order to detect unauthorized activity.;Detecting unauthorized user sessions by comparing the duration of a user logon session with a baseline behavior model. The behavior model comprises historical user session duration times. Abnormalities between session duration and the behavior model may indicate suspicious activity.;Potential for false positives from anomalies that are not associated with malicious activity.;None;None
D3-UDTA User Data Transfer Analysis;Analyzing the amount of data transferred by a user.;Unusual data transfer activity may indicate unauthorized activity. Data transfers can be analyzed by collecting network traffic or application logs.;There is a potential for false positives from anomalies that are not associated with unauthorized activity.;None;None
D3-UGLPA User Geolocation Logon Pattern Analysis;Monitoring geolocation data of user logon attempts and comparing it to a baseline user behavior profile to identify anomalies in logon location.;Geolocation data for each user logon attempt is collected and used to create a baseline user behavior profile. Current geolocation logon data is then compared against the user behavior profile. Logon activity that deviates from normal patterns and can help in identifying situations that may be indicative of a remote attacker using stolen credentials. For example: logons from locations that are different from where a user usually logs in;Potential for false positives from logon anomalies that are not associated with malicious activity.;None;None
D3-WSAA Web Session Activity Analysis;Monitoring changes in user web session behavior by comparing current web session activity to a baseline behavior profile or a catalog of predetermined malicious behavior.;User web session data is collected over a period of time to create a user behavior profile. Data collected includes clicks made on a website, average time between clicks, filling out web forms, order in which pages are viewed, and downloading files. Current user web session behavior is then compared against the use behavior profile to identify anomalies and a likelihood that the current user web session is malicious. Current user web session behavior can also be compared to predetermined known malicious behavior profiles that are developed through analysis of malware in run time at a threat research facility.;Attackers may not differentiate their web session activity enough to trigger an alert.;None;None
D3-MENCR Message Encryption;Encrypting a message body using a cryptographic key.;Asymmetric Crypto: Asymmetric encryption is typically accomplished using public and private key certificates based on the X.509 standard. The sender encrypts messages using the recipient's public key and the receipt decrypts the message using their private key. Standards that can be used to implement message encryption include S/MIME (Secure/Multipurpose Internet Mail Extensions) and PGP. Symmetric Crypto: Symmetric encryption uses the same cryptographic key by both the sender and receiver to encrypt and decrypt a message. Asymmetric key exchange protocols such as Diffie-Hellman can be used to share the cryptographic key with the recipient.;Separate configuration settings to enable message encryption are often needed for each messenger client (e.g. webmail, desktop client, mobile), Continuous monitoring to ensure private keys are not compromised and the certificate authority (CA) is trusted, Secure transfer of private keys between multiple devices.;None;None
D3-HBPI Hardware-based Process Isolation;Preventing one process from writing to the memory space of another process through hardware based address manager implementations.;Process isolation, in this context, is address space separation controlled by a security function that limits the communication between processes so that one process cannot directly modify the executing code of another process. Hardware process isolation is commonly implemented through Direct Memory Access (DMA) which collaborates with a Memory Management Unit (MMU), or Input-Output Memory Management Unit (IOMMU). These hardware controls are deployed directly on processors to aid hosts or enclaves in process isolation.;Private hosts may be vulnerable to DMA attack if they have a PCI or PCI Express port that connects attached devices directly to physical address space.;Intel Virtualization Technology for Directed I/O (Intel VT-d), Firecracker;None
D3-SBV Service Binary Verification;Analyzing changes in service binary files by comparing to a source of truth.;System service applications may originate from the operating system installation or third-party applications installed with administrative privileges. These services have an entry point of some executable file-- a binary or a script. Attackers sometimes modify these executables to launch their own code. Analyzing changes in these files may uncover unauthorized activity.;These files change for legitimate reasons when the system or software updates.;None;None
D3-TBI TPM Boot Integrity;Assuring the integrity of a platform by demonstrating that the boot process starts from a trusted combination of hardware and software and continues until the operating system has fully booted and applications are running. Sometimes called Static Root of Trust Measurement (STRM).;During the boot process, the BIOS boot block (which with this defense enabled, is the Core Root of Trust for Measurement) measures boot components (firmware, ROM). The TPM hashes those measurements and stores the hashes in Platform Configuration Registers (PCRs). Upon a subsequent boot, these hashes are provided to a verifier which compares the stored measurements to the new boot measurements. Integrity of the boot components is assured if they match.;The TPM does not perform the follow-on actions of acting on the PCR value information, it just provides the PCR stored Information.;None;None
D3-DA Dynamic Analysis;"Executing or opening a file in a synthetic ""sandbox"" environment to determine if the file is a malicious program or if the file exploits another program such as a document reader.";Analyzing the interaction of a piece of code with a system while the code is being executed in a controlled environment such as a sandbox, virtual machine, or simulator. This exposes the natural behavior of the piece of code without requiring the code to be disassembled.;Malware often detects a fake environment, then changes its behavior accordingly. For example, it could detect that the system clock is being sped up in an effort to get it to execute commands that it would normally only execute at a later time, or that the hardware manufacturer of the machine is a virtualization Provider, Malware can attempt to determine if it is being debugged, and change its behavior accordingly, Sometimes the malware behavior is triggered only under certain conditions (on a specific system date, after a certain time, or after it is sent a specific command) and can't be detected through a short execution in a virtual environment.;Cuckoo Sandbox;None
D3-FCR File Content Rules;Employing a pattern matching rule language to analyze the content of files.;Rules, often called signatures, are used for both generic and targeted malware detection. The rules are usually expressed in a domain specific language (DSL), then deployed to software that scans files for matches. The rules are developed and broadly distributed by commercial vendors, or they are developed and deployed by enterprise security teams to address highly targeted or custom malware. Conceptually, there are public and private rule sets. Both leverage the same technology, but they are intended to detect different types of cyber adversaries.;Patterns expressed in the DSLs range in their complexity. Some scanning engines support file parsing and normalization for high fidelity matching, others support only simple regular expression matching against raw file data. Engineers must make a trade-off in terms of: the computioonal load for scanning, and the resilence of the engine to deal with adversarial Content presented in different forms-- Content which in some cases is designed to exploit or defeat the scanning engines;YARA, ClamAV;None
D3-FH File Hashing;Employing file hash comparisons to detect known malware.;This technique requires a list of hashes to compare a file against.;Performance on large files or very large numbers of files.;None;None
D3-SSC Shadow Stack Comparisons;Comparing a call stack in system memory with a shadow call stack maintained by the processor to determine unauthorized shellcode activity.;This technique compares the call stack stored in system memory with the shadow call stack maintained in the cache memory of the processor. Mismatches between the two are compared since a return oriented programming attack may only be able to control or spoof the call stack and not the shadow call stack. Mismatches are counted and if the number of mismatches exceeds a certain threshold it is an indication of unauthorized activity and a security response action is performed.;If the threshold for detecting a stack anomaly is low, it may not detect a return-oriented attack with just one gadget, such as a return-to-libc or return-to-plt attack. Additionally, this technique may not detect JOP (Jump-oriented programming), as the return instruction is not executed.;None;None
D3-SSC Shadow Stack Comparisons;Comparing a call stack in system memory with a shadow call stack maintained by the processor to determine unauthorized shellcode activity.;This technique compares the call stack stored in system memory with the shadow call stack maintained in the cache memory of the processor. Mismatches between the two are compared since a return oriented programming attack may only be able to control or spoof the call stack and not the shadow call stack. Mismatches are counted and if the number of mismatches exceeds a certain threshold it is an indication of unauthorized activity and a security response action is performed.;If the threshold for detecting a stack anomaly is low, it may not detect a return-oriented attack with just one gadget, such as a return-to-libc or return-to-plt attack. Additionally, this technique may not detect JOP (Jump-oriented programming), as the return instruction is not executed.;None;None
D3-ACH Application Configuration Hardening;Modifying an application's configuration to reduce its attack surface.;Application configuration settings can be configured to limit the permissions on an application or disable certain vulnerable application features. Hardening an application's configuration involves analyzing not only the application but also the environment in which the application is run in for potential vulnerabilities.;None;None;None
D3-CP Certificate Pinning;Persisting either a server's X.509 certificate or their public key and comparing that to server's presented identity to allow for greater client confidence in the remote server's identity for SSL Connections;Pinning allows for a trusted copy of a certificate or public key to be associated with a server and thus reducing the likelihood of frequently visited sites being subjected to man-in-the-middle attacks. Certificates or public keys can be pinned after a trusted connection has been established or the pinning can be preloaded in an application, which is the preferred method for mobile applications. Pinning can take the form of certificate pinning or public key printing;With pinned certificates whenever a server updates its certificate, the pinned certificates will also need to be updated;None;None
